Date,SF-Total,SF-Subscriber,SF-Customer,SJ-Total,SJ-Subscriber,SJ-Customer,RC-Total,RC-Subscriber,RC-Customer,MV-Total,MV-Subscriber,MV-Customer,PA-Total,PA-Subscriber,PA-Customer
08/29/13,642,383,259,62,50,12,9,6,3,12,7,5,23,15,8
08/30/13,606,253,353,70,32,38,9,8,1,18,12,6,11,3,8
08/31/13,556,127,429,26,15,11,5,5,0,23,7,16,30,6,24
09/01/13,600,102,498,73,11,62,6,3,3,16,6,10,11,0,11
09/02/13,594,144,450,49,14,35,4,1,3,10,3,7,4,0,4
09/03/13,523,271,252,35,27,8,10,4,6,10,4,6,19,6,13
09/04/13,515,308,207,72,52,20,2,1,1,10,8,2,7,1,6
09/05/13,602,348,254,56,38,18,8,6,2,7,6,1,4,1,3
09/06/13,719,400,319,61,37,24,12,10,2,15,9,6,7,5,2
09/07/13,716,216,500,33,14,19,4,2,2,17,9,8,26,1,25
09/08/13,626,164,462,53,26,27,2,2,0,10,4,6,13,3,10
09/09/13,692,456,236,51,36,15,1,1,0,16,7,9,9,2,7
09/10/13,797,561,236,68,47,21,8,8,0,8,8,0,11,4,7
09/11/13,799,555,244,61,53,8,6,6,0,6,6,0,8,3,5
09/12/13,855,606,249,61,50,11,7,7,0,10,9,1,9,5,4
09/13/13,886,600,286,63,54,9,8,7,1,12,7,5,12,8,4
09/14/13,610,227,383,60,20,40,9,8,1,7,4,3,16,2,14
09/15/13,575,223,352,27,10,17,1,1,0,6,0,6,15,2,13
09/16/13,833,610,223,50,46,4,15,14,1,7,5,2,9,1,8
09/17/13,990,716,274,50,41,9,6,5,1,11,11,0,16,6,10
09/18/13,1015,768,247,70,55,15,8,7,1,5,3,2,12,8,4
09/19/13,956,721,235,61,52,9,8,6,2,13,12,1,6,2,4
09/20/13,971,697,274,102,74,28,7,7,0,10,7,3,12,6,6
09/21/13,317,180,137,61,20,41,1,1,0,4,0,4,5,2,3
09/22/13,531,209,322,28,13,15,1,0,1,3,1,2,21,1,20
09/23/13,943,729,214,62,49,13,9,9,0,23,17,6,13,8,5
09/24/13,977,757,220,65,54,11,11,8,3,15,13,2,7,4,3
09/25/13,1154,798,356,72,64,8,6,5,1,20,18,2,12,6,6
09/26/13,976,758,218,74,64,10,7,7,0,17,13,4,8,7,1
09/27/13,1009,764,245,54,47,7,10,8,2,15,14,1,13,7,6
09/28/13,553,225,328,35,25,10,6,6,0,11,5,6,7,2,5
09/29/13,479,224,255,20,16,4,2,2,0,10,3,7,6,5,1
09/30/13,891,777,114,56,48,8,5,5,0,20,16,4,4,3,1
10/01/13,969,819,150,61,53,8,13,13,0,21,19,2,8,5,3
10/02/13,955,787,168,64,56,8,9,9,0,15,11,4,18,14,4
10/03/13,1036,793,243,81,67,14,8,7,1,16,13,3,17,5,12
10/04/13,973,745,228,76,64,12,9,9,0,19,17,2,11,9,2
10/05/13,626,262,364,48,37,11,5,1,4,20,10,10,17,1,16
10/06/13,514,210,304,58,35,23,3,0,3,11,5,6,20,1,19
10/07/13,884,752,132,48,42,6,9,8,1,12,8,4,11,8,3
10/08/13,909,790,119,79,65,14,7,7,0,16,14,2,7,5,2
10/09/13,966,830,136,63,58,5,8,8,0,14,13,1,18,10,8
10/10/13,988,807,181,64,61,3,2,2,0,18,16,2,14,9,5
10/11/13,907,745,162,72,59,13,9,9,0,19,16,3,7,4,3
10/12/13,608,280,328,46,33,13,1,1,0,4,2,2,6,3,3
10/13/13,505,235,270,33,20,13,8,1,7,7,3,4,19,4,15
10/14/13,954,751,203,55,46,9,3,3,0,22,20,2,16,10,6
10/15/13,1069,855,214,70,60,10,9,6,3,14,12,2,11,8,3
10/16/13,1075,901,174,65,55,10,3,3,0,11,11,0,11,9,2
10/17/13,1106,899,207,87,74,13,11,10,1,10,8,2,13,10,3
10/18/13,999,771,228,70,51,19,5,4,1,20,18,2,9,8,1
10/19/13,564,242,322,39,28,11,2,2,0,10,6,4,20,7,13
10/20/13,389,181,208,40,22,18,4,3,1,10,3,7,9,4,5
10/21/13,910,773,137,71,66,5,9,8,1,16,15,1,9,7,2
10/22/13,910,820,90,84,68,16,10,10,0,12,11,1,10,8,2
10/23/13,907,840,67,86,62,24,8,7,1,14,14,0,14,11,3
10/24/13,918,825,93,106,96,10,6,6,0,14,13,1,9,5,4
10/25/13,953,845,108,63,52,11,2,2,0,18,11,7,12,7,5
10/26/13,448,252,196,29,13,16,1,1,0,4,0,4,19,5,14
10/27/13,251,170,81,31,17,14,2,1,1,2,0,2,6,0,6
10/28/13,865,804,61,72,64,8,8,8,0,13,13,0,9,9,0
10/29/13,922,844,78,54,51,3,8,8,0,13,13,0,11,8,3
10/30/13,1017,922,95,77,69,8,6,6,0,15,14,1,7,6,1
10/31/13,1055,909,146,70,61,9,4,4,0,12,11,1,9,8,1
11/01/13,1032,880,152,52,48,4,7,5,2,15,12,3,14,8,6
11/02/13,507,242,265,22,19,3,5,0,5,2,1,1,8,3,5
11/03/13,327,190,137,20,11,9,3,0,3,8,5,3,14,4,10
11/04/13,1042,933,109,53,49,4,4,4,0,19,19,0,10,9,1
11/05/13,1052,915,137,70,61,9,12,11,1,12,11,1,12,10,2
11/06/13,986,865,121,55,53,2,8,6,2,24,17,7,12,11,1
11/07/13,1077,943,134,75,69,6,7,3,4,21,16,5,17,5,12
11/08/13,1073,895,178,41,33,8,22,8,14,28,22,6,8,2,6
11/09/13,573,288,285,34,14,20,10,5,5,2,0,2,15,2,13
11/10/13,434,200,234,25,19,6,9,2,7,7,3,4,7,3,4
11/11/13,908,786,122,48,33,15,4,3,1,20,17,3,6,6,0
11/12/13,1068,959,109,57,56,1,8,8,0,15,14,1,6,5,1
11/13/13,910,853,57,53,50,3,7,5,2,23,21,2,9,7,2
11/14/13,1013,945,68,66,58,8,9,9,0,23,21,2,4,3,1
11/15/13,1030,882,148,60,46,14,10,10,0,15,14,1,16,6,10
11/16/13,430,259,171,24,11,13,2,2,0,6,1,5,12,4,8
11/17/13,361,209,152,16,11,5,0,0,0,11,2,9,18,7,11
11/18/13,937,863,74,39,38,1,10,10,0,18,16,2,4,3,1
11/19/13,676,627,49,46,44,2,5,5,0,11,11,0,12,6,6
11/20/13,552,524,28,40,38,2,6,6,0,19,19,0,8,4,4
11/21/13,998,909,89,67,65,2,4,4,0,21,20,1,12,5,7
11/22/13,912,819,93,56,40,16,5,5,0,14,14,0,8,4,4
11/23/13,458,212,246,54,24,30,1,1,0,5,4,1,7,2,5
11/24/13,304,172,132,41,16,25,0,0,0,2,0,2,1,1,0
