date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
08/29/13,748,461,287,936,792,143,70.4,,0,5,0,,,,,,0,
08/30/13,714,308,406,899,732,167,73,,0,6,0,,,,,,0,
08/31/13,640,160,480,477,234,244,68,,1,7,0,,,,,,0,
09/01/13,706,122,584,407,192,215,70,,1,1,0,,,,,,0,
09/02/13,661,162,499,890,758,132,70.8,1,0,2,0,,,,,,1,Labor Day
09/03/13,597,312,285,949,825,124,68.8,1,0,3,0,,,,,,0,
09/04/13,606,370,236,910,779,131,68.6,,0,4,0,,,,,,0,
09/05/13,677,399,278,936,792,143,68,,0,5,0,,1,,,,0,
09/06/13,814,461,353,899,732,167,72,,0,6,0,,1,,,,0,
09/07/13,796,242,554,477,234,244,76.2,,1,7,0,,1,,1,,0,
09/08/13,704,199,505,407,192,215,70,,1,1,0,1,1,,1,,0,
09/09/13,769,502,267,890,758,132,71.4,,0,2,0,,1,,,,0,
09/10/13,892,628,264,949,825,124,69.2,,0,3,0,,1,,1,,0,
09/11/13,880,623,257,910,779,131,67.2,,0,4,0,,1,,,,0,
09/12/13,942,677,265,936,792,143,67.2,,0,5,0,,,,1,,0,
09/13/13,981,676,305,899,732,167,65.6,,0,6,0,,,,,,0,
09/14/13,702,261,441,477,234,244,63.8,,1,7,0,,,,1,,0,
09/15/13,624,236,388,407,192,215,67.2,,1,1,0,,,,1,,0,
09/16/13,914,676,238,890,758,132,68.6,,0,2,0,,,,,,0,
09/17/13,1073,779,294,949,825,124,65,,0,3,0,,,,1,,0,
09/18/13,1110,841,269,910,779,131,67.6,,0,4,0,,,,1,,0,
09/19/13,1044,793,251,936,792,143,68.6,,0,5,0,,,,1,,0,
09/20/13,1102,791,311,899,732,167,65.8,,0,6,0,,,,1,,0,
09/21/13,388,203,185,477,234,244,63.4,1,1,7,0,,,,1,,0,
09/22/13,584,224,360,407,192,215,62.6,,1,1,0,1,,,1,,0,
09/23/13,1050,812,238,890,758,132,67.4,,0,2,0,,,,1,,0,
09/24/13,1075,836,239,949,825,124,66,,0,3,0,,1,,1,,0,
09/25/13,1264,891,373,910,779,131,62,,0,4,0,,1,,1,,0,
09/26/13,1082,849,233,936,792,143,62.8,,0,5,0,,1,,,,0,
09/27/13,1101,840,261,899,732,167,64,,0,6,0,,1,,,,0,
09/28/13,612,263,349,477,234,244,65.8,,1,7,0,,1,,,,0,
09/29/13,517,250,267,407,192,215,65.6,,1,1,0,,1,,,,0,
09/30/13,976,849,127,890,758,132,66.4,,0,2,0,,,,,,0,
10/01/13,1072,909,163,949,825,124,63,,0,3,0,,,,,1,0,
10/02/13,1061,877,184,910,779,131,62.8,,0,4,0,,,,,1,0,
10/03/13,1158,885,273,936,792,143,62,,0,5,0,,,1,,1,0,
10/04/13,1088,844,244,899,732,167,69,,0,6,0,,,,,1,0,
10/05/13,716,311,405,477,234,244,67.2,,1,7,0,,,1,,1,0,
10/06/13,606,251,355,407,192,215,67.2,,1,1,0,1,,,,1,0,
10/07/13,964,818,146,890,758,132,67,,0,2,0,,,,,1,0,
10/08/13,1018,881,137,949,825,124,61.8,,0,3,0,,,1,,1,0,
10/09/13,1069,919,150,910,779,131,59.2,,0,4,0,,,,,1,0,
10/10/13,1086,895,191,936,792,143,60.4,,0,5,0,,,,,1,0,
10/11/13,1014,833,181,899,732,167,57,,0,6,0,,,,,1,0,
10/12/13,665,319,346,477,234,244,57.6,,1,7,0,,,1,,1,0,
10/13/13,572,263,309,407,192,215,60.6,,1,1,0,1,,,,1,0,
10/14/13,1050,830,220,890,758,132,62.8,,0,2,0,,,,,1,1,Columbus Day
10/15/13,1173,941,232,949,825,124,64.2,,0,3,0,,,,,1,0,
10/16/13,1165,979,186,910,779,131,65.2,,0,4,0,,,,,1,0,
10/17/13,1227,1001,226,936,792,143,65.4,,0,5,0,,,,,,0,
10/18/13,1103,852,251,899,732,167,61.4,,0,6,1,,,,,,0,
10/19/13,635,285,350,477,234,244,62.8,,1,7,1,,,1,,,0,
10/20/13,452,213,239,407,192,215,59.2,,1,1,1,,,,,,0,
10/21/13,1015,869,146,890,758,132,57.8,,0,2,1,,,,,,0,
10/22/13,1026,917,109,949,825,124,58.4,,0,3,0,,,,,,0,
10/23/13,1029,934,95,910,779,131,57.4,,0,4,0,,,,,,0,
10/24/13,1053,945,108,936,792,143,55.2,,0,5,0,,,,,,0,
10/25/13,1048,917,131,899,732,167,57.4,,0,6,0,,,,,,0,
10/26/13,501,271,230,477,234,244,59.8,,1,7,0,,,,,,0,
10/27/13,292,188,104,407,192,215,55.2,1,1,1,0,,,,,,0,
10/28/13,967,898,69,890,758,132,57.6,,0,2,0,,,,,,0,
10/29/13,1008,924,84,949,825,124,56.2,1,0,3,0,,,,,,0,
10/30/13,1122,1017,105,910,779,131,55.4,,0,4,0,,,,,,0,
10/31/13,1150,993,157,936,792,143,57.8,,0,5,0,,,,,,1,Halloween
11/01/13,1120,953,167,899,732,167,60.6,,0,6,0,,,,,,0,
11/02/13,544,265,279,477,234,244,56.6,,1,7,0,,,1,,,0,
11/03/13,372,210,162,407,192,215,54.6,,1,1,0,,,,,,0,
11/04/13,1128,1014,114,890,758,132,54.8,,0,2,0,,,,,,0,
11/05/13,1158,1008,150,949,825,124,58.8,,0,3,0,,,1,,,0,
11/06/13,1085,952,133,910,779,131,59,,0,4,0,,,,,,0,
11/07/13,1197,1036,161,936,792,143,60.8,,0,5,0,,,1,,,0,
11/08/13,1172,960,212,899,732,167,58.6,,0,6,0,,,,,,0,
11/09/13,634,309,325,477,234,244,57.6,,1,7,0,,,,,,0,
11/10/13,482,227,255,407,192,215,55.2,,1,1,0,1,,,,,0,
11/11/13,986,845,141,890,758,132,58,,0,2,0,,,,,,1,Veterans Day
11/12/13,1154,1042,112,949,825,124,62,,0,3,0,,,,,,0,
11/13/13,1002,936,66,910,779,131,60,,0,4,0,,,,,,0,
11/14/13,1115,1036,79,936,792,143,56.2,,0,5,0,,,,,,0,
11/15/13,1131,958,173,899,732,167,55.4,,0,6,0,,,,,,0,
11/16/13,474,277,197,477,234,244,54,,1,7,0,,,,,,0,
11/17/13,406,229,177,407,192,215,53.2,,1,1,0,,,,,,0,
11/18/13,1008,930,78,890,758,132,52.2,,0,2,0,,,,,,0,
