date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
08/29/13,642,383,259,716,129,59,68,,0,5,0,,,,,,0,
08/30/13,606,253,353,663,149,56,69,,0,6,0,,,,,,0,
08/31/13,556,127,429,208,217,32,64,,1,7,0,,,,,,0,
09/01/13,600,102,498,171,188,30,66,,1,1,0,,,,,,0,
09/02/13,594,144,450,688,119,52,69,,0,2,0,,,,,,1,Labor Day
09/03/13,523,271,252,749,111,55,67,,0,3,0,,,,,,0,
09/04/13,515,308,207,704,119,57,68,,0,4,0,,,,,,0,
09/05/13,602,348,254,716,129,59,66,,0,5,0,,1,,,,0,
09/06/13,719,400,319,663,149,56,71,,0,6,0,,1,,,,0,
09/07/13,716,216,500,208,217,32,73,,1,7,0,,1,,1,,0,
09/08/13,626,164,462,171,188,30,65,,1,1,0,1,1,,1,,0,
09/09/13,692,456,236,688,119,52,66,,0,2,0,,1,,,,0,
09/10/13,797,561,236,749,111,55,66,,0,3,0,,1,,1,,0,
09/11/13,799,555,244,704,119,57,68,,0,4,0,,1,,,,0,
09/12/13,855,606,249,716,129,59,65,,0,5,0,,,,1,,0,
09/13/13,886,600,286,663,149,56,62,,0,6,0,,,,,,0,
09/14/13,610,227,383,208,217,32,62,,1,7,0,,,,1,,0,
09/15/13,575,223,352,171,188,30,66,,1,1,0,,,,1,,0,
09/16/13,833,610,223,688,119,52,65,,0,2,0,,,,,,0,
09/17/13,990,716,274,749,111,55,63,,0,3,0,,,,1,,0,
09/18/13,1015,768,247,704,119,57,66,,0,4,0,,,,1,,0,
09/19/13,956,721,235,716,129,59,67,,0,5,0,,,,1,,0,
09/20/13,971,697,274,663,149,56,65,,0,6,0,,,,1,,0,
09/21/13,317,180,137,208,217,32,63,1,1,7,0,,,,1,,0,
09/22/13,531,209,322,171,188,30,63,,1,1,0,1,,,1,,0,
09/23/13,943,729,214,688,119,52,68,,0,2,0,,,,1,,0,
09/24/13,977,757,220,749,111,55,65,,0,3,0,,1,,1,,0,
09/25/13,1154,798,356,704,119,57,62,,0,4,0,,1,,1,,0,
09/26/13,976,758,218,716,129,59,62,,0,5,0,,1,,,,0,
09/27/13,1009,764,245,663,149,56,66,,0,6,0,,1,,,,0,
09/28/13,553,225,328,208,217,32,66,,1,7,0,,1,,,,0,
09/29/13,479,224,255,171,188,30,66,,1,1,0,,1,,,,0,
09/30/13,891,777,114,688,119,52,66,,0,2,0,,,,,,0,
10/01/13,969,819,150,749,111,55,63,,0,3,0,,,,,1,0,
10/02/13,955,787,168,704,119,57,62,,0,4,0,,,,,1,0,
10/03/13,1036,793,243,716,129,59,62,,0,5,0,,,1,,1,0,
10/04/13,973,745,228,663,149,56,69,,0,6,0,,,,,1,0,
10/05/13,626,262,364,208,217,32,69,,1,7,0,,,1,,1,0,
10/06/13,514,210,304,171,188,30,70,,1,1,0,1,,,,1,0,
10/07/13,884,752,132,688,119,52,68,,0,2,0,,,,,1,0,
10/08/13,909,790,119,749,111,55,62,,0,3,0,,,1,,1,0,
10/09/13,966,830,136,704,119,57,60,,0,4,0,,,,,1,0,
10/10/13,988,807,181,716,129,59,62,,0,5,0,,,,,1,0,
10/11/13,907,745,162,663,149,56,57,,0,6,0,,,,,1,0,
10/12/13,608,280,328,208,217,32,56,,1,7,0,,,1,,1,0,
10/13/13,505,235,270,171,188,30,62,,1,1,0,1,,,,1,0,
10/14/13,954,751,203,688,119,52,64,,0,2,0,,,,,1,1,Columbus Day
10/15/13,1069,855,214,749,111,55,67,,0,3,0,,,,,1,0,
10/16/13,1075,901,174,704,119,57,67,,0,4,0,,,,,1,0,
10/17/13,1106,899,207,716,129,59,68,,0,5,0,,,,,,0,
10/18/13,999,771,228,663,149,56,60,,0,6,1,,,,,,0,
10/19/13,564,242,322,208,217,32,62,,1,7,1,,,1,,,0,
10/20/13,389,181,208,171,188,30,57,,1,1,1,,,,,,0,
