start,end,rides
1,1,69
1,2,74
1,3,403
1,4,175
1,5,300
1,6,236
1,7,72
1,8,103
1,9,139
1,10,120
1,11,36
1,12,124
1,13,17
1,14,103
1,29,1
2,1,81
2,2,82
2,3,15
2,4,16
2,5,26
2,6,12
2,7,18
2,8,9
2,9,18
2,10,23
2,11,5
2,12,8
2,13,15
2,14,17
2,63,1
3,1,497
3,2,20
3,3,34
3,4,10
3,5,20
3,6,31
3,7,11
3,8,7
3,9,8
3,10,7
3,11,77
3,12,5
3,13,118
3,14,10
4,1,180
4,2,24
4,3,7
4,4,31
4,5,13
4,6,16
4,7,4
4,8,6
4,9,10
4,10,21
4,11,6
4,12,6
4,13,8
4,14,2
4,29,1
5,1,229
5,2,33
5,3,19
5,4,5
5,5,61
5,6,58
5,7,26
5,8,81
5,9,32
5,10,48
5,11,18
5,12,40
5,13,33
5,14,30
5,15,2
6,1,196
6,2,21
6,3,27
6,4,17
6,5,48
6,6,41
6,7,68
6,8,103
6,9,34
6,10,53
6,11,23
6,12,31
6,13,12
6,14,68
6,67,1
6,15,2
7,1,79
7,2,21
7,3,12
7,4,4
7,5,35
7,6,42
7,7,60
7,8,14
7,9,42
7,10,190
7,11,43
7,12,7
7,13,12
7,14,36
8,1,20
8,2,17
8,3,48
8,4,7
8,5,68
8,6,54
8,7,25
8,8,90
8,9,42
8,10,49
8,11,18
8,12,20
8,13,15
8,14,12
8,15,11
9,1,132
9,2,24
9,3,14
9,4,25
9,5,35
9,6,56
9,7,197
9,8,38
9,9,67
9,10,74
9,11,35
9,12,15
9,13,2
9,14,25
9,15,1
10,1,60
10,2,21
10,3,14
10,4,12
10,5,33
10,6,46
10,7,34
10,8,60
10,9,42
10,10,62
10,11,27
10,12,18
10,13,8
10,14,90
10,15,1
11,1,20
11,2,7
11,3,59
11,4,8
11,5,21
11,6,23
11,7,34
11,8,20
11,9,25
11,10,30
11,11,35
11,12,23
11,13,2
11,14,81
11,15,1
12,1,141
12,2,12
12,3,5
12,4,8
12,5,55
12,6,19
12,7,15
12,8,28
12,9,17
12,10,13
12,11,20
12,12,22
12,13,4
12,14,7
13,1,9
13,2,7
13,3,113
13,4,9
13,5,66
13,6,19
13,7,8
13,8,11
13,9,6
13,10,2
13,11,6
13,12,5
13,13,66
13,14,8
13,15,4
14,1,105
14,2,11
14,3,8
14,4,3
14,5,23
14,6,65
14,7,35
14,8,11
14,9,24
14,10,56
14,11,85
14,12,9
14,13,11
14,14,42
14,15,1
16,16,23
16,17,50
16,18,1
16,19,8
16,20,10
16,21,1
16,30,2
16,31,2
16,22,2
17,16,56
17,17,41
17,18,41
17,19,75
17,20,7
17,21,141
17,25,1
17,30,11
17,33,1
17,63,1
17,22,3
18,17,34
18,18,20
18,19,8
18,20,17
18,21,22
19,16,7
19,17,9
19,18,9
19,19,14
19,21,2
19,28,1
19,33,2
20,16,6
20,17,5
20,18,13
20,19,3
20,20,13
20,21,5
21,14,1
21,16,1
21,17,83
21,18,21
21,19,6
21,20,6
21,21,5
23,23,60
23,24,494
23,25,16
23,26,12
23,27,4
23,28,3
23,29,33
23,30,1
23,31,1
23,34,6
24,1,1
24,12,1
24,23,592
24,24,129
24,25,41
24,26,159
24,27,23
24,28,100
24,29,94
24,30,6
24,31,1
24,32,1
24,33,2
24,34,4
25,17,1
25,23,15
25,24,21
25,25,33
25,26,4
25,27,48
25,29,79
25,30,4
25,31,5
25,32,16
25,33,2
25,34,10
26,23,12
26,24,154
26,25,2
26,26,50
27,23,6
27,24,23
27,25,59
27,27,6
27,28,3
27,29,1
27,31,2
27,32,5
27,34,2
27,63,1
28,23,10
28,24,95
28,27,4
28,28,22
28,29,1
29,23,40
29,24,90
29,25,48
29,27,1
29,29,54
29,31,5
29,32,6
29,34,4
30,17,2
30,19,2
30,24,2
30,25,12
30,29,1
30,30,88
30,31,25
30,32,81
30,33,149
30,34,69
31,17,1
31,23,1
31,24,2
31,25,8
31,27,3
31,29,2
31,30,13
31,31,269
31,32,46
31,33,46
31,34,43
32,24,3
32,25,29
32,27,1
32,29,4
32,30,67
32,31,73
32,32,72
32,33,20
32,34,27
32,68,1
33,19,1
33,20,3
33,24,2
33,25,4
33,30,138
33,31,110
33,32,37
33,33,47
33,34,13
34,23,6
34,24,3
34,25,19
34,27,3
34,29,3
34,30,43
34,31,45
34,32,22
34,33,14
34,34,31
35,35,115
35,36,42
35,37,25
35,38,25
35,39,42
35,40,43
35,41,56
35,42,99
35,43,61
35,44,79
35,45,59
35,46,207
35,47,52
35,48,38
35,49,17
35,50,21
35,51,149
35,52,109
35,53,53
35,54,90
35,55,38
35,56,40
35,57,31
35,58,43
35,59,51
35,60,54
35,61,193
35,62,78
35,63,68
35,64,81
35,65,41
35,66,117
35,67,115
35,68,82
35,69,5
36,35,29
36,36,149
36,37,66
36,38,20
36,39,43
36,40,46
36,41,114
36,42,62
36,43,94
36,44,77
36,45,47
36,46,79
36,47,124
36,48,15
36,49,13
36,50,27
36,51,236
36,52,70
36,53,14
36,54,74
36,55,37
36,56,19
36,57,18
36,58,18
36,59,9
36,60,62
36,61,263
36,62,63
36,63,13
36,64,86
36,65,42
36,66,72
36,67,76
36,68,120
36,69,3
37,35,34
37,36,178
37,37,78
37,38,31
37,39,92
37,40,10
37,41,60
37,42,220
37,43,58
37,44,205
37,45,163
37,46,142
37,47,142
37,48,63
37,49,12
37,50,13
37,51,77
37,52,30
37,53,50
37,54,73
37,55,52
37,56,13
37,57,51
37,58,28
37,59,56
37,60,34
37,61,176
37,62,61
37,63,29
37,64,66
37,65,33
37,66,85
37,67,171
37,68,247
37,69,1
38,35,17
38,36,24
38,37,13
38,38,89
38,39,37
38,40,29
38,41,23
38,42,95
38,43,95
38,44,71
38,45,44
38,46,97
38,47,58
38,48,19
38,49,15
38,50,14
38,51,108
38,52,16
38,53,11
38,54,33
38,55,24
38,56,18
38,57,16
38,58,76
38,59,28
38,60,51
38,61,41
38,62,42
38,63,18
38,64,45
38,65,48
38,66,40
38,67,46
38,68,67
38,69,4
39,35,40
39,36,41
39,37,62
39,38,186
39,39,59
39,40,30
39,41,93
39,42,158
39,43,32
39,44,71
39,45,27
39,46,68
39,47,35
39,48,58
39,49,54
39,50,58
39,51,114
39,52,89
39,53,81
39,54,66
39,55,139
39,56,55
39,57,119
39,58,99
39,59,33
39,60,84
39,61,122
39,62,51
39,63,50
39,64,150
39,65,79
39,66,27
39,67,45
39,68,25
39,69,3
40,35,32
40,36,48
40,37,18
40,38,16
40,39,10
40,40,185
40,41,107
40,42,214
40,43,51
40,44,54
40,45,184
40,46,94
40,47,188
40,48,22
40,49,16
40,50,18
40,51,316
40,52,158
40,53,14
40,54,37
40,55,122
40,56,28
40,57,36
40,58,25
