start,end,rides
1,1,60
1,2,494
1,3,16
1,4,12
1,5,4
1,6,3
1,7,33
1,8,1
1,9,1
1,12,6
2,1,592
2,2,129
2,3,41
2,4,159
2,5,23
2,6,100
2,7,94
2,8,6
2,9,1
2,10,1
2,11,2
2,12,4
3,1,15
3,2,21
3,3,33
3,4,4
3,5,48
3,7,79
3,8,4
3,9,5
3,10,16
3,11,2
3,12,10
4,1,12
4,2,154
4,3,2
4,4,50
5,1,6
5,2,23
5,3,59
5,5,6
5,6,3
5,7,1
5,9,2
5,10,5
5,12,2
6,1,10
6,2,95
6,5,4
6,6,22
6,7,1
7,1,40
7,2,90
7,3,48
7,5,1
7,7,54
7,9,5
7,10,6
7,12,4
8,2,2
8,3,12
8,7,1
8,8,88
8,9,25
8,10,81
8,11,149
8,12,69
9,1,1
9,2,2
9,3,8
9,5,3
9,7,2
9,8,13
9,9,269
9,10,46
9,11,46
9,12,43
10,2,3
10,3,29
10,5,1
10,7,4
10,8,67
10,9,73
10,10,72
10,11,20
10,12,27
11,2,2
11,3,4
11,8,138
11,9,110
11,10,37
11,11,47
11,12,13
12,1,6
12,2,3
12,3,19
12,5,3
12,7,3
12,8,43
12,9,45
12,10,22
12,11,14
12,12,31
