start,end,rides
1,1,115
1,2,42
1,3,25
1,4,25
1,5,42
1,6,43
1,7,56
1,8,99
1,9,61
1,10,79
1,11,59
1,12,207
1,13,52
1,14,38
1,15,17
1,16,21
1,17,149
1,18,109
1,19,53
1,20,90
1,21,38
1,22,40
1,23,31
1,24,43
1,25,51
1,26,54
1,27,193
1,28,78
1,29,68
1,30,81
1,31,41
1,32,117
1,33,115
1,34,82
1,35,5
2,1,29
2,2,149
2,3,66
2,4,20
2,5,43
2,6,46
2,7,114
2,8,62
2,9,94
2,10,77
2,11,47
2,12,79
2,13,124
2,14,15
2,15,13
2,16,27
2,17,236
2,18,70
2,19,14
2,20,74
2,21,37
2,22,19
2,23,18
2,24,18
2,25,9
2,26,62
2,27,263
2,28,63
2,29,13
2,30,86
2,31,42
2,32,72
2,33,76
2,34,120
2,35,3
3,1,34
3,2,178
3,3,78
3,4,31
3,5,92
3,6,10
3,7,60
3,8,220
3,9,58
3,10,205
3,11,163
3,12,142
3,13,142
3,14,63
3,15,12
3,16,13
3,17,77
3,18,30
3,19,50
3,20,73
3,21,52
3,22,13
3,23,51
3,24,28
3,25,56
3,26,34
3,27,176
3,28,61
3,29,29
3,30,66
3,31,33
3,32,85
3,33,171
3,34,247
3,35,1
4,1,17
4,2,24
4,3,13
4,4,89
4,5,37
4,6,29
4,7,23
4,8,95
4,9,95
4,10,71
4,11,44
4,12,97
4,13,58
4,14,19
4,15,15
4,16,14
4,17,108
4,18,16
4,19,11
4,20,33
4,21,24
4,22,18
4,23,16
4,24,76
4,25,28
4,26,51
4,27,41
4,28,42
4,29,18
4,30,45
4,31,48
4,32,40
4,33,46
4,34,67
4,35,4
5,1,40
5,2,41
5,3,62
5,4,186
5,5,59
5,6,30
5,7,93
5,8,158
5,9,32
5,10,71
5,11,27
5,12,68
5,13,35
5,14,58
5,15,54
5,16,58
5,17,114
5,18,89
5,19,81
5,20,66
5,21,139
5,22,55
5,23,119
5,24,99
5,25,33
5,26,84
5,27,122
5,28,51
5,29,50
5,30,150
5,31,79
5,32,27
5,33,45
5,34,25
5,35,3
6,1,32
6,2,48
6,3,18
6,4,16
6,5,10
6,6,185
6,7,107
6,8,214
6,9,51
6,10,54
6,11,184
6,12,94
6,13,188
6,14,22
6,15,16
6,16,18
6,17,316
6,18,158
6,19,14
6,20,37
6,21,122
6,22,28
6,23,36
6,24,25
6,25,34
6,26,41
6,27,180
6,28,53
6,29,50
6,30,81
6,31,176
6,32,52
6,33,85
6,34,35
6,35,5
7,1,55
7,2,82
7,3,68
7,4,50
7,5,68
7,6,104
7,7,102
7,8,176
7,9,23
7,10,63
7,11,80
7,12,66
7,13,83
7,14,138
7,15,10
7,16,15
7,17,132
7,18,307
7,19,137
7,20,82
7,21,156
7,22,89
7,23,34
7,24,32
7,25,130
7,26,232
7,27,318
7,28,42
7,29,41
7,30,66
7,31,130
7,32,116
7,33,105
7,34,65
7,35,26
8,1,86
8,2,122
8,3,218
8,4,80
8,5,148
8,6,332
8,7,148
8,8,550
8,9,54
8,10,142
8,11,293
8,12,136
8,13,55
8,14,92
8,15,54
8,16,21
8,17,1330
8,18,710
8,19,98
8,20,92
8,21,167
8,22,230
8,23,56
8,24,46
8,25,75
8,26,307
8,27,598
8,28,152
8,29,52
8,30,153
8,31,22
8,32,161
8,33,261
8,34,294
8,35,8
9,1,20
9,2,58
9,3,46
9,4,94
9,5,26
9,6,61
9,7,9
9,8,96
9,9,111
9,10,46
9,11,163
9,12,17
9,13,18
9,14,41
9,15,3
9,16,8
9,17,247
9,18,221
9,19,13
9,20,76
9,21,91
9,22,65
9,23,23
9,24,8
9,25,64
9,26,284
9,27,647
9,28,32
9,29,14
9,30,51
9,31,97
9,32,74
9,33,53
9,34,50
9,35,4
10,1,54
10,2,32
10,3,97
10,4,50
10,5,56
10,6,64
10,7,43
10,8,125
10,9,27
10,10,150
10,11,19
10,12,98
10,13,49
10,14,72
10,15,123
10,16,100
10,17,167
10,18,34
10,19,109
10,20,52
10,21,40
10,22,183
10,23,277
10,24,396
10,25,35
10,26,370
10,27,320
10,28,36
10,29,208
10,30,61
10,31,88
10,32,48
10,33,70
10,34,177
10,35,5
11,1,136
11,2,57
11,3,113
11,4,36
11,5,29
11,6,232
11,7,112
11,8,403
11,9,117
11,10,24
11,11,168
11,12,55
11,13,46
11,14,31
11,15,6
11,16,4
11,17,329
11,18,152
11,19,37
11,20,90
11,21,23
11,22,142
11,23,9
11,24,9
11,25,54
11,26,140
11,27,430
11,28,19
11,29,29
11,30,35
11,31,188
11,32,128
11,33,34
11,34,75
11,35,4
12,1,188
12,2,68
12,3,191
12,4,134
12,5,70
12,6,169
12,7,101
12,8,179
12,9,23
12,10,121
12,11,85
12,12,104
12,13,81
12,14,238
12,15,7
12,16,103
12,17,238
12,18,487
12,19,81
12,20,133
12,21,211
12,22,244
12,23,78
12,24,129
12,25,124
12,26,345
12,27,530
12,28,34
12,29,91
12,30,82
12,31,36
12,32,78
12,33,186
12,34,143
12,35,1
13,1,30
13,2,100
13,3,146
13,4,35
13,5,40
13,6,170
13,7,155
13,8,123
13,9,55
13,10,71
13,11,82
13,12,188
13,13,72
13,14,27
13,15,24
13,16,29
13,17,241
13,18,222
13,19,31
13,20,61
13,21,108
13,22,97
13,23,36
13,24,51
13,25,27
13,26,136
13,27,342
13,28,46
13,29,42
13,30,63
13,31,26
13,32,16
13,33,121
13,34,38
13,35,6
14,1,37
14,2,12
14,3,68
14,4,30
14,5,50
14,6,19
14,7,105
14,8,82
14,9,28
14,10,82
14,11,19
