start,end,rides
1,1,69
1,2,74
1,3,403
1,4,175
1,5,300
1,6,236
1,7,72
1,8,103
1,9,139
1,10,120
1,11,36
1,12,124
1,13,17
1,14,103
2,1,81
2,2,82
2,3,15
2,4,16
2,5,26
2,6,12
2,7,18
2,8,9
2,9,18
2,10,23
2,11,5
2,12,8
2,13,15
2,14,17
3,1,497
3,2,20
3,3,34
3,4,10
3,5,20
3,6,31
3,7,11
3,8,7
3,9,8
3,10,7
3,11,77
3,12,5
3,13,118
3,14,10
4,1,180
4,2,24
4,3,7
4,4,31
4,5,13
4,6,16
4,7,4
4,8,6
4,9,10
4,10,21
4,11,6
4,12,6
4,13,8
4,14,2
5,1,229
5,2,33
5,3,19
5,4,5
5,5,61
5,6,58
5,7,26
5,8,81
5,9,32
5,10,48
5,11,18
5,12,40
5,13,33
5,14,30
5,15,2
6,1,196
6,2,21
6,3,27
6,4,17
6,5,48
6,6,41
6,7,68
6,8,103
6,9,34
6,10,53
6,11,23
6,12,31
6,13,12
6,14,68
6,15,2
7,1,79
7,2,21
7,3,12
7,4,4
7,5,35
7,6,42
7,7,60
7,8,14
7,9,42
7,10,190
7,11,43
7,12,7
7,13,12
7,14,36
8,1,20
8,2,17
8,3,48
8,4,7
8,5,68
8,6,54
8,7,25
8,8,90
8,9,42
8,10,49
8,11,18
8,12,20
8,13,15
8,14,12
8,15,11
9,1,132
9,2,24
9,3,14
9,4,25
9,5,35
9,6,56
9,7,197
9,8,38
9,9,67
9,10,74
9,11,35
9,12,15
9,13,2
9,14,25
9,15,1
10,1,60
10,2,21
10,3,14
10,4,12
10,5,33
10,6,46
10,7,34
10,8,60
10,9,42
10,10,62
10,11,27
10,12,18
10,13,8
10,14,90
10,15,1
11,1,20
11,2,7
11,3,59
11,4,8
11,5,21
11,6,23
11,7,34
11,8,20
11,9,25
11,10,30
11,11,35
11,12,23
11,13,2
11,14,81
11,15,1
12,1,141
12,2,12
12,3,5
12,4,8
12,5,55
12,6,19
12,7,15
12,8,28
12,9,17
12,10,13
12,11,20
12,12,22
12,13,4
12,14,7
13,1,9
13,2,7
13,3,113
13,4,9
13,5,66
13,6,19
13,7,8
13,8,11
13,9,6
13,10,2
13,11,6
13,12,5
13,13,66
13,14,8
13,15,4
14,1,105
14,2,11
14,3,8
14,4,3
14,5,23
14,6,65
14,7,35
14,8,11
14,9,24
14,10,56
14,11,85
14,12,9
14,13,11
14,14,42
14,15,1
15,4,1
15,5,3
15,6,1
15,8,9
15,9,3
15,12,3
15,13,1
15,14,2
