station,hour,rides
2nd at Folsom,00,9
2nd at Folsom,01,1
2nd at Folsom,02,3
2nd at Folsom,03,2
2nd at Folsom,04,27
2nd at Folsom,05,51
2nd at Folsom,06,79
2nd at Folsom,07,146
2nd at Folsom,08,356
2nd at Folsom,09,271
2nd at Folsom,10,138
2nd at Folsom,11,190
2nd at Folsom,12,275
2nd at Folsom,13,253
2nd at Folsom,14,156
2nd at Folsom,15,178
2nd at Folsom,16,305
2nd at Folsom,17,507
2nd at Folsom,18,409
2nd at Folsom,19,177
2nd at Folsom,20,115
2nd at Folsom,21,74
2nd at Folsom,22,39
2nd at Folsom,23,15
2nd at South Park,00,7
2nd at South Park,01,9
2nd at South Park,03,2
2nd at South Park,04,1
2nd at South Park,05,11
2nd at South Park,06,29
2nd at South Park,07,137
2nd at South Park,08,263
2nd at South Park,09,274
2nd at South Park,10,176
2nd at South Park,11,244
2nd at South Park,12,348
2nd at South Park,13,256
2nd at South Park,14,236
2nd at South Park,15,218
2nd at South Park,16,387
2nd at South Park,17,802
2nd at South Park,18,534
2nd at South Park,19,237
2nd at South Park,20,160
2nd at South Park,21,56
2nd at South Park,22,53
2nd at South Park,23,18
2nd at Townsend,00,10
2nd at Townsend,01,5
2nd at Townsend,02,5
2nd at Townsend,04,4
2nd at Townsend,05,9
2nd at Townsend,06,133
2nd at Townsend,07,158
2nd at Townsend,08,453
2nd at Townsend,09,433
2nd at Townsend,10,188
2nd at Townsend,11,239
2nd at Townsend,12,369
2nd at Townsend,13,310
2nd at Townsend,14,242
2nd at Townsend,15,306
2nd at Townsend,16,502
2nd at Townsend,17,671
2nd at Townsend,18,470
2nd at Townsend,19,207
2nd at Townsend,20,112
2nd at Townsend,21,70
2nd at Townsend,22,63
2nd at Townsend,23,28
5th at Howard,00,16
5th at Howard,01,12
5th at Howard,02,3
5th at Howard,03,7
5th at Howard,05,4
5th at Howard,06,80
5th at Howard,07,138
5th at Howard,08,132
5th at Howard,09,197
5th at Howard,10,156
5th at Howard,11,124
5th at Howard,12,173
