date,rides,weekend
08/29/13,748,0
08/30/13,714,0
08/31/13,640,1
09/01/13,706,1
09/02/13,661,0
09/03/13,597,0
09/04/13,606,0
09/05/13,677,0
09/06/13,814,0
09/07/13,796,1
09/08/13,704,1
09/09/13,769,0
09/10/13,892,0
09/11/13,880,0
09/12/13,942,0
09/13/13,981,0
09/14/13,702,1
09/15/13,624,1
09/16/13,914,0
09/17/13,1073,0
09/18/13,1110,0
09/19/13,1044,0
09/20/13,1102,0
09/21/13,388,1
09/22/13,584,1
09/23/13,1050,0
09/24/13,1075,0
09/25/13,1264,0
09/26/13,1082,0
09/27/13,1101,0
09/28/13,612,1
09/29/13,517,1
09/30/13,976,0
10/01/13,1072,0
10/02/13,1061,0
10/03/13,1158,0
10/04/13,1088,0
10/05/13,716,1
10/06/13,606,1
10/07/13,964,0
10/08/13,1018,0
10/09/13,1069,0
10/10/13,1086,0
10/11/13,1014,0
10/12/13,665,1
10/13/13,572,1
10/14/13,1050,0
10/15/13,1173,0
10/16/13,1165,0
10/17/13,1227,0
10/18/13,1103,0
10/19/13,635,1
10/20/13,452,1
10/21/13,1015,0
10/22/13,1026,0
10/23/13,1029,0
10/24/13,1053,0
10/25/13,1048,0
10/26/13,501,1
10/27/13,292,1
10/28/13,967,0
10/29/13,1008,0
10/30/13,1122,0
10/31/13,1150,0
11/01/13,1120,0
11/02/13,544,1
11/03/13,372,1
11/04/13,1128,0
11/05/13,1158,0
11/06/13,1085,0
11/07/13,1197,0
11/08/13,1172,0
11/09/13,634,1
11/10/13,482,1
11/11/13,986,0
11/12/13,1154,0
11/13/13,1002,0
11/14/13,1115,0
11/15/13,1131,0
11/16/13,474,1
11/17/13,406,1
11/18/13,1008,0
11/19/13,750,0
11/20/13,625,0
11/21/13,1102,0
11/22/13,995,0
11/23/13,525,1
11/24/13,348,1
11/25/13,1019,0
11/26/13,1004,0
11/27/13,720,0
11/28/13,272,0
11/29/13,384,0
11/30/13,307,1
12/01/13,329,1
12/02/13,878,0
12/03/13,917,0
12/04/13,992,0
12/05/13,936,0
12/06/13,727,0
12/07/13,277,1
12/08/13,274,1
12/09/13,807,0
12/10/13,878,0
12/11/13,903,0
12/12/13,966,0
12/13/13,962,0
12/14/13,392,1
12/15/13,319,1
12/16/13,946,0
12/17/13,975,0
12/18/13,928,0
12/19/13,935,0
12/20/13,867,0
12/21/13,354,1
12/22/13,307,1
12/23/13,651,0
12/24/13,336,0
12/25/13,360,0
12/26/13,422,0
12/27/13,425,0
12/28/13,403,1
12/29/13,318,1
12/30/13,605,0
12/31/13,505,0
01/01/14,359,0
01/02/14,767,0
01/03/14,779,0
01/04/14,356,1
01/05/14,296,1
01/06/14,915,0
01/07/14,967,0
01/08/14,967,0
01/09/14,980,0
01/10/14,983,0
01/11/14,247,1
01/12/14,351,1
01/13/14,1015,0
01/14/14,1027,0
01/15/14,1100,0
01/16/14,1097,0
01/17/14,1014,0
01/18/14,443,1
01/19/14,397,1
01/20/14,615,0
01/21/14,1011,0
01/22/14,1071,0
01/23/14,1094,0
01/24/14,1021,0
01/25/14,444,1
01/26/14,390,1
01/27/14,959,0
01/28/14,1026,0
01/29/14,952,0
01/30/14,946,0
01/31/14,839,0
02/01/14,383,1
02/02/14,128,1
02/03/14,962,0
02/04/14,994,0
02/05/14,862,0
02/06/14,486,0
02/07/14,466,0
02/08/14,94,1
02/09/14,81,1
02/10/14,803,0
02/11/14,939,0
02/12/14,1015,0
02/13/14,937,0
02/14/14,958,0
02/15/14,415,1
02/16/14,415,1
02/17/14,464,0
02/18/14,1013,0
02/19/14,1012,0
02/20/14,974,0
02/21/14,937,0
02/22/14,466,1
02/23/14,317,1
02/24/14,1011,0
02/25/14,1090,0
02/26/14,392,0
02/27/14,872,0
02/28/14,538,0
