date,total,subscriber,customer,weekend,day_of_week,totalAverage,subscriberAverage,customerAverage,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,SFRain,holiday,holidayName,tempSF
08/29/13,748,461,287,0,5,936,792,143,0,,,,,,0,0,,68
08/30/13,714,308,406,0,6,899,732,167,0,,,,,,0,0,,69
08/31/13,640,160,480,1,7,477,234,244,0,,,,,,0,0,,64
09/01/13,706,122,584,1,1,407,192,215,0,,,,,,0,0,,66
09/02/13,661,162,499,0,2,890,758,132,0,,,,,,0,1,Labor Day,69
09/03/13,597,312,285,0,3,949,825,124,0,,,,,,0,0,,67
09/04/13,606,370,236,0,4,910,779,131,0,,,,,,0,0,,68
09/05/13,677,399,278,0,5,936,792,143,0,,1,,,,0,0,,66
09/06/13,814,461,353,0,6,899,732,167,0,,1,,,,0,0,,71
09/07/13,796,242,554,1,7,477,234,244,0,,1,,1,,0,0,,73
09/08/13,704,199,505,1,1,407,192,215,0,1,1,,1,,0,0,,65
09/09/13,769,502,267,0,2,890,758,132,0,,1,,,,0,0,,66
09/10/13,892,628,264,0,3,949,825,124,0,,1,,1,,0,0,,66
09/11/13,880,623,257,0,4,910,779,131,0,,1,,,,0,0,,68
09/12/13,942,677,265,0,5,936,792,143,0,,,,1,,0,0,,65
09/13/13,981,676,305,0,6,899,732,167,0,,,,,,0,0,,62
09/14/13,702,261,441,1,7,477,234,244,0,,,,1,,0,0,,62
09/15/13,624,236,388,1,1,407,192,215,0,,,,1,,0,0,,66
09/16/13,914,676,238,0,2,890,758,132,0,,,,,,0,0,,65
09/17/13,1073,779,294,0,3,949,825,124,0,,,,1,,0,0,,63
09/18/13,1110,841,269,0,4,910,779,131,0,,,,1,,0,0,,66
09/19/13,1044,793,251,0,5,936,792,143,0,,,,1,,0,0,,67
09/20/13,1102,791,311,0,6,899,732,167,0,,,,1,,0,0,,65
09/21/13,388,203,185,1,7,477,234,244,0,,,,1,,1,0,,63
09/22/13,584,224,360,1,1,407,192,215,0,1,,,1,,0,0,,63
09/23/13,1050,812,238,0,2,890,758,132,0,,,,1,,0,0,,68
