zip,rides,lon,lat,city
96768,74,-156.33,20.85,Pukalani
97408,5,-123.06,44.12,Eugene
95472,28,-122.84,38.4,Sebastopol
94952,179,-122.69,38.24,Petaluma
95448,29,-122.88,38.62,Healdsburg
94977,11,-122.54,37.94,Larkspur
94966,17,-122.5,37.87,Sausalito
94140,5,-122.42,37.76,San Francisco
94188,7,-122.38,37.74,San Francisco
94164,30,-122.42,37.79,San Francisco
94146,34,-122.44,37.76,San Francisco
94119,61,-122.45,37.79,San Francisco
94120,72,-122.4,37.79,San Francisco
94126,75,-122.39,37.8,San Francisco
94158,2256,-122.39,37.77,San Francisco
95404,20,-122.69,38.45,Santa Rosa
97214,24,-122.65,45.51,Portland
94930,205,-122.6,37.98,Fairfax
94960,356,-122.57,37.98,San Anselmo
94903,424,-122.55,38.02,San Rafael
94920,399,-122.47,37.89,Tiburon
94941,228,-122.54,37.9,Mill Valley
94957,69,-122.56,37.96,Ross
94949,10,-122.54,38.06,Novato
94945,213,-122.56,38.12,Novato
94904,135,-122.54,37.95,Kentfield
94939,276,-122.53,37.94,Larkspur
94965,314,-122.5,37.86,Sausalito
94925,237,-122.52,37.92,Corte Madera
94901,144,-122.51,37.97,San Rafael
94121,408,-122.49,37.78,San Francisco
94116,555,-122.49,37.74,San Francisco
94132,200,-122.48,37.72,San Francisco
94044,230,-122.49,37.62,Pacifica
95476,1,-122.47,38.28,Sonoma
94122,972,-122.48,37.76,San Francisco
94015,125,-122.48,37.68,Daly City
94018,6,-122.47,37.51,El Granada
94129,162,-122.46,37.8,San Francisco
94118,774,-122.46,37.78,San Francisco
94127,350,-122.46,37.74,San Francisco
94117,2657,-122.44,37.77,San Francisco
94131,711,-122.44,37.74,San Francisco
94014,50,-122.45,37.7,Daly City
94112,623,-122.44,37.72,San Francisco
94114,1551,-122.44,37.76,San Francisco
94115,935,-122.44,37.79,San Francisco
94066,288,-122.43,37.63,San Bruno
94123,630,-122.44,37.8,San Francisco
94080,284,-122.43,37.66,South San Francisco
94109,3253,-122.42,37.79,San Francisco
94102,4320,-122.42,37.78,San Francisco
94019,6,-122.44,37.47,Half Moon Bay
94110,1863,-122.42,37.75,San Francisco
94103,4901,-122.41,37.77,San Francisco
94134,129,-122.41,37.72,San Francisco
94133,6576,-122.41,37.8,San Francisco
94108,1767,-122.41,37.79,San Francisco
94111,4343,-122.4,37.8,San Francisco
94005,33,-122.4,37.68,Brisbane
94104,629,-122.4,37.79,San Francisco
94030,123,-122.4,37.6,Millbrae
94105,11354,-122.4,37.79,San Francisco
94107,14878,-122.4,37.77,San Francisco
94124,229,-122.39,37.73,San Francisco
94010,931,-122.36,37.57,Burlingame
94130,11,-122.37,37.82,San Francisco
94582,49,-121.92,37.77,San Ramon
94804,49,-122.34,37.92,Richmond
94085,196,-122.02,37.39,Sunnyvale
94402,682,-122.33,37.55,San Mateo
94401,116,-122.32,37.57,San Mateo
94559,24,-122.29,38.29,Napa
94558,275,-122.29,38.36,Napa
94403,1109,-122.3,37.54,San Mateo
94710,179,-122.3,37.87,Berkeley
94530,369,-122.3,37.92,El Cerrito
94805,10,-122.32,37.94,Richmond
94607,155,-122.29,37.81,Oakland
94070,717,-122.27,37.5,San Carlos
94706,153,-122.29,37.89,Albany
94062,910,-122.27,37.45,Redwood City
94608,781,-122.28,37.84,Oakland
94002,774,-122.29,37.52,Belmont
94702,347,-122.29,37.87,Berkeley
94589,14,-122.25,38.14,Vallejo
94703,602,-122.28,37.86,Berkeley
94707,331,-122.28,37.89,Berkeley
94404,800,-122.27,37.55,Foster City
94612,712,-122.27,37.81,Oakland
94709,267,-122.27,37.88,Berkeley
94501,807,-122.26,37.77,Alameda
94609,790,-122.26,37.83,Oakland
94547,16,-122.26,38.01,Hercules
94708,169,-122.26,37.9,Berkeley
94704,315,-122.26,37.87,Berkeley
94590,441,-122.25,38.1,Vallejo
94065,310,-122.25,37.53,Redwood City
94606,678,-122.24,37.79,Oakland
94503,130,-122.25,38.17,American Canyon
94502,223,-122.24,37.74,Alameda
94564,11,-122.29,38,Pinole
94705,382,-122.25,37.86,Berkeley
94618,423,-122.24,37.84,Oakland
94610,1262,-122.24,37.81,Oakland
94061,586,-122.23,37.46,Redwood City
98040,6,-122.23,47.57,Mercer Island
94601,105,-122.22,37.78,Oakland
94611,1559,-122.23,37.83,Oakland
94063,199,-122.21,37.48,Redwood City
94803,70,-122.29,37.97,El Sobrante
94602,1185,-122.21,37.8,Oakland
94027,31,-122.2,37.46,Atherton
94621,36,-122.19,37.75,Oakland
94025,1203,-122.18,37.45,Menlo Park
94619,171,-122.19,37.79,Oakland
94577,111,-122.16,37.72,San Leandro
94605,220,-122.16,37.76,Oakland
94579,110,-122.15,37.69,San Leandro
94563,14,-122.18,37.88,Orinda
94303,427,-122.13,37.45,East Palo Alto
94553,93,-122.12,38,Martinez
94549,332,-122.11,37.9,Lafayette
95060,75,-122.06,36.98,Santa Cruz
94556,159,-122.12,37.84,Moraga
94545,39,-122.11,37.64,Hayward
94523,8,-122.07,37.95,Pleasant Hill
94507,105,-122.02,37.85,Alamo
94546,34,-122.08,37.7,Castro Valley
94555,52,-122.05,37.57,Fremont
94544,79,-122.07,37.64,Hayward
94526,14,-121.99,37.81,Danville
94542,78,-122.04,37.66,Hayward
94598,50,-122.02,37.92,Walnut Creek
94510,294,-122.14,38.07,Benicia
94518,156,-122.02,37.95,Concord
94534,113,-122.11,38.24,Fairfield
94519,48,-122.01,37.98,Concord
95066,31,-122.02,37.06,Scotts Valley
95062,32,-121.99,36.97,Live Oak
94536,108,-122,37.56,Fremont
94583,12,-121.96,37.75,San Ramon
94587,71,-122.05,37.59,Union City
94541,73,-122.09,37.68,Hayward
94538,201,-121.97,37.53,Fremont
94597,370,-122.07,37.92,Walnut Creek
95073,1,-121.95,37.01,Soquel
94552,119,-122.03,37.7,Castro Valley
94662,2,-122.29,37.84,Emeryville
94551,17,-121.76,37.71,Livermore
94565,148,-121.91,38.02,Pittsburg
94550,392,-121.73,37.65,Livermore
94539,53,-121.93,37.52,Fremont
94568,99,-121.91,37.71,Dublin
94588,163,-121.89,37.69,Pleasanton
95120,112,-121.85,37.21,San Jose
95112,2742,-121.88,37.35,San Jose
95131,48,-121.89,37.39,San Jose
94022,84,-122.13,37.38,Los Altos
94596,136,-122.05,37.89,Walnut Creek
95035,82,-121.89,37.44,Milpitas
94566,36,-121.87,37.66,Pleasanton
95116,33,-121.85,37.35,San Jose
95122,15,-121.83,37.33,San Jose
95111,102,-121.83,37.28,San Jose
95127,130,-121.82,37.37,San Jose
95148,7,-121.79,37.33,San Jose
95138,78,-121.77,37.25,San Jose
95139,45,-121.77,37.22,San Jose
95135,9,-121.75,37.3,San Jose
95156,1,-121.84,37.36,San Jose
94042,5,-122.09,37.41,Mountain View
94302,5,-122.16,37.45,Palo Alto
95134,5,-121.94,37.41,San Jose
95123,6,-121.83,37.24,San Jose
95015,13,-122.05,37.32,Cupertino
94304,18,-122.15,37.41,Palo Alto
94039,24,-122.08,37.39,Mountain View
94305,24,-122.17,37.43,Stanford
94310,28,-122.14,37.44,Palo Alto
95109,33,-121.89,37.34,San Jose
95118,57,-121.89,37.26,San Jose
95054,60,-121.96,37.39,Santa Clara
95070,61,-122.02,37.27,Saratoga
95128,68,-121.94,37.32,San Jose
94089,81,-122.01,37.4,Sunnyvale
95130,102,-121.98,37.29,San Jose
95136,115,-121.85,37.27,San Jose
95124,117,-121.92,37.26,San Jose
95129,133,-122,37.31,San Jose
95008,138,-121.96,37.28,Campbell
95050,230,-121.95,37.35,Santa Clara
95125,259,-121.9,37.29,San Jose
95051,296,-121.98,37.35,Santa Clara
94024,299,-122.09,37.35,Los Altos
94306,409,-122.13,37.42,Palo Alto
95014,428,-122.04,37.32,Cupertino
94087,431,-122.04,37.35,Sunnyvale
94086,644,-122.03,37.37,Sunnyvale
95126,722,-121.92,37.33,San Jose
94301,782,-122.15,37.44,Palo Alto
94043,815,-122.07,37.41,Mountain View
95110,883,-121.9,37.34,San Jose
95113,1099,-121.89,37.33,San Jose
